country,location_name,n_obs,first_date,last_date,span_days,n_gaps
Bulgaria,Bogot,651,2024-05-16 00:00:00+00:00,2026-06-15 00:00:00+00:00,760,111
Madagascar,Ivory,458,2024-05-16 00:00:00+00:00,2025-08-20 00:00:00+00:00,461,5
Costa Rica,San Ignacio,439,2024-05-31 00:00:00+00:00,2025-08-20 00:00:00+00:00,446,8
Belgium,'S Gravenjansdijk,431,2024-05-31 00:00:00+00:00,2025-08-20 00:00:00+00:00,446,16
Cameroon,Ngaoundere,424,2024-06-20 00:00:00+00:00,2025-08-20 00:00:00+00:00,426,3
Myanmar,Yangon,424,2024-06-20 00:00:00+00:00,2025-08-20 00:00:00+00:00,426,3
Iceland,Vestmannaeyjar,424,2024-06-20 00:00:00+00:00,2025-08-20 00:00:00+00:00,426,3
Paraguay,Aurora,423,2024-06-20 00:00:00+00:00,2025-08-20 00:00:00+00:00,426,4
Jamaica,Port Royal,420,2024-06-20 00:00:00+00:00,2025-08-20 00:00:00+00:00,426,7
Vietnam,Ban Lom,411,2024-06-22 00:00:00+00:00,2025-08-20 00:00:00+00:00,424,14
Palau,Airai,371,2024-08-15 00:00:00+00:00,2025-08-20 00:00:00+00:00,370,0
Palau,Koror,338,2024-06-20 00:00:00+00:00,2026-06-03 00:00:00+00:00,713,376
Bulgaria,Lom,330,2024-05-16 00:00:00+00:00,2026-06-15 00:00:00+00:00,760,432
Myanmar,Rangoon,307,2024-05-31 00:00:00+00:00,2026-06-04 00:00:00+00:00,734,428
Cote d'Ivoire,Yamoussoukro,297,2025-08-21 00:00:00+00:00,2026-06-16 00:00:00+00:00,299,3
Jamaica,Kingston,293,2024-06-25 00:00:00+00:00,2026-06-15 00:00:00+00:00,720,428
Cameroon,Douala,288,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,422
Iceland,Reykjavik,285,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,425
Costa Rica,San Jose,284,2025-08-21 00:00:00+00:00,2026-06-03 00:00:00+00:00,286,3
Belgium,'S-Gravenbrakel,206,2025-08-22 00:00:00+00:00,2026-06-16 00:00:00+00:00,298,93
Paraguay,Aguaray,178,2025-08-21 00:00:00+00:00,2026-04-26 00:00:00+00:00,248,71
Hungary,Bogot,105,2025-08-31 00:00:00+00:00,2026-06-16 00:00:00+00:00,289,185
Paraguay,Garrapata,89,2025-08-22 00:00:00+00:00,2026-06-16 00:00:00+00:00,298,210
Switzerland,S-Chanf,50,2025-08-21 00:00:00+00:00,2026-05-27 00:00:00+00:00,279,230
Vietnam,S. Manian,42,2025-12-28 00:00:00+00:00,2026-04-27 00:00:00+00:00,120,79
Russia,Chi-Chi-Erh,41,2025-12-21 00:00:00+00:00,2026-04-18 00:00:00+00:00,118,78
Iceland,Grindavik,36,2024-05-16 00:00:00+00:00,2024-06-19 00:00:00+00:00,34,0
Jamaica,Norman Gardens,36,2024-05-16 00:00:00+00:00,2024-06-19 00:00:00+00:00,34,0
Maldives,Felidhoo,34,2024-05-16 00:00:00+00:00,2024-06-17 00:00:00+00:00,32,0
Paraguay,Carreria,25,2024-05-31 00:00:00+00:00,2026-04-27 00:00:00+00:00,696,672
Paraguay,Pasto,25,2024-05-16 00:00:00+00:00,2024-06-19 00:00:00+00:00,34,11
Palau,Adkip,20,2024-05-31 00:00:00+00:00,2024-06-19 00:00:00+00:00,19,0
Cameroon,Bafoussam,18,2024-05-31 00:00:00+00:00,2024-06-19 00:00:00+00:00,19,2
Costa Rica,San Juan,16,2024-05-16 00:00:00+00:00,2024-05-30 00:00:00+00:00,14,0
Paraguay,Sartorio,16,2026-02-20 00:00:00+00:00,2026-06-14 00:00:00+00:00,114,99
Belgium,'S Gravenstaffel,16,2024-05-16 00:00:00+00:00,2024-05-30 00:00:00+00:00,14,0
United States of America,Washington Park,16,2024-05-16 00:00:00+00:00,2024-05-30 00:00:00+00:00,14,0
Myanmar,Pathein,16,2024-05-16 00:00:00+00:00,2024-05-30 00:00:00+00:00,14,0
Cameroon,Yaounde,16,2024-05-16 00:00:00+00:00,2024-05-30 00:00:00+00:00,14,0
Palau,Meyungs,16,2024-05-16 00:00:00+00:00,2024-05-30 00:00:00+00:00,14,1
Russia,Lom,12,2024-06-20 00:00:00+00:00,2024-07-12 00:00:00+00:00,22,11
Iceland,Abaer,12,2026-06-05 00:00:00+00:00,2026-06-16 00:00:00+00:00,11,0
Belgium,'S Gravenjansdyk,12,2024-06-02 00:00:00+00:00,2024-06-19 00:00:00+00:00,17,6
Costa Rica,San Andres,12,2026-06-05 00:00:00+00:00,2026-06-16 00:00:00+00:00,11,0
Senegal,Mbabane,12,2026-06-05 00:00:00+00:00,2026-06-16 00:00:00+00:00,11,0
Palau,Aakip,8,2026-06-06 00:00:00+00:00,2026-06-16 00:00:00+00:00,10,3
Cameroon,Aba,7,2026-06-05 00:00:00+00:00,2026-06-16 00:00:00+00:00,11,5
Myanmar,Namawbin,6,2026-06-05 00:00:00+00:00,2026-06-16 00:00:00+00:00,11,6
Jamaica,Bournemouth Gardens,5,2026-06-05 00:00:00+00:00,2026-06-16 00:00:00+00:00,11,7
Cameroon,Ninga,5,2026-06-06 00:00:00+00:00,2026-06-14 00:00:00+00:00,8,4
Palau,Achelap,4,2026-06-05 00:00:00+00:00,2026-06-13 00:00:00+00:00,8,5
Myanmar,Yanngwa,3,2026-06-10 00:00:00+00:00,2026-06-15 00:00:00+00:00,5,3
Norway,Lom,3,2026-06-09 00:00:00+00:00,2026-06-16 00:00:00+00:00,7,5
